ENGLISH,HINDI,Split sentences,Number of sentences,
"""True masculinity includes sharing the responsibilities of both work and home.""",काम और घर दोनों की ज़िम्मेदारियाँ साझा करना ही असली मर्दानगी है।,काम और घर दोनों की ज़िम्मेदारियाँ साझा करना ही असली मर्दानगी है।,1,
"""When a husband and wife share household chores, they build a partnership of equality and respect.""","जब पति और पत्नी घर के कामों को मिलकर करते हैं, तो वे अपने रिश्ते में समानता और सम्मान की एक बुनियाद बनाते हैं।","जब पति और पत्नी घर के कामों को मिलकर करते हैं, तो वे अपने रिश्ते में समानता और सम्मान की एक बुनियाद बनाते हैं।",1,
"""A woman’s worth is not diminished by her employment; in fact, her contributions enrich both her family and society.""","""एक महिला का मूल्य उसकी नौकरी से कम नहीं होता; बल्कि, उसके योगदान से उसका परिवार और समाज दोनों आगे बढ़ते हैं।""
","""एक महिला का मूल्य उसकी नौकरी से कम नहीं होता; बल्कि, उसके योगदान से उसका परिवार और समाज दोनों आगे बढ़ते हैं।""
",1,
"""A wife who works outside the home is setting a powerful example of independence and strength for her children.""","""एक पत्नी जो घर से बाहर काम करती है वह अपने बच्चों के लिए स्वतंत्रता और ताकत का एक सशक्त उदाहरण प्रस्तुत कर रही है।""
","""एक पत्नी जो घर से बाहर काम करती है वह अपने बच्चों के लिए स्वतंत्रता और ताकत का एक सशक्त उदाहरण प्रस्तुत कर रही है।""
",1,
"""Men who respect and support their wives’ careers are true role models of modern masculinity.""","जो पुरुष अपनी पत्नियों के करियर का सम्मान करते हैं और उनका समर्थन करते हैं, वे आधुनिक मर्दानगी के सच्चे आदर्श हैं।
","जो पुरुष अपनी पत्नियों के करियर का सम्मान करते हैं और उनका समर्थन करते हैं, वे आधुनिक मर्दानगी के सच्चे आदर्श हैं।
",1,
"""When women work outside the home, families often benefit from diverse perspectives and financial stability.""","जब महिलाएं घर के बाहर काम करती हैं, तो परिवारों को अक्सर विविध दृष्टिकोण और आर्थिक स्थिरता का लाभ मिलता है।
","जब महिलाएं घर के बाहर काम करती हैं, तो परिवारों को अक्सर विविध दृष्टिकोण और आर्थिक स्थिरता का लाभ मिलता है।
",1,
"""A good father teaches his children that both men and women can be providers and nurturers.""
",एक अच्छा पिता अपने बच्चों को सिखाता है कि पुरुष और महिलाएँ दोनों ही घर के लिए रोज़गार कमाने और बच्चों का पालन.पोषण करने वाले हो सकते हैं।,एक अच्छा पिता अपने बच्चों को सिखाता है कि पुरुष और महिलाएँ दोनों ही घर के लिए रोज़गार कमाने और बच्चों का पालन.पोषण करने वाले हो सकते हैं।,1,
"Till today, we were all trying in the wrong direction. We should save our boys and not girls. Because if we save our boys then our girls will be safe
","आज तक, हम सभी गलत दिशा में प्रयास कर रहे थे। हमें लड़कियों को नहीं, बल्कि लड़कों को बचाना चाहिए। क्योंकि अगर हम अपने लड़कों को सही मार्ग पर लाते हैं, तो हमारी लड़कियां सुरक्षित रहेंगी।
","आज तक, हम सभी गलत दिशा में प्रयास कर रहे थे। ",3,
,,"हमें लड़कियों को नहीं, बल्कि लड़कों को बचाना चाहिए।",,
,,"क्योंकि अगर हम अपने लड़कों को सही मार्ग पर लाते हैं, तो हमारी लड़कियां सुरक्षित रहेंगी।",,
{Next },{Next },,,
{News excerpts},{News excerpts},,12,
Three-quarters of Indians say violence against women is a “very big problem”. India's patriarchal norms damages the country's reputation globally.,"""पचहत्तर प्रतिशत भारतीय कहते हैं कि महिलाओं के खिलाफ हिंसा/अत्याचार एक """"बहुत बड़ी समस्या"""" है। भारत में पुरुष-प्रधानता के कारण महिलाएं पुरुषों से इतनी पीछे हैं, इस वजह से हमारे देश के सम्मान को अंतर्राष्ट्रीय स्तर पर चोट पहुँचती है।""","पचहत्तर प्रतिशत भारतीय कहते हैं कि महिलाओं के खिलाफ हिंसा/अत्याचार एक """"बहुत बड़ी समस्या"""" है। ",2,
,,"भारत में पुरुष-प्रधानता के कारण महिलाएं पुरुषों से इतनी पीछे हैं, इस वजह से हमारे देश के सम्मान को अंतर्राष्ट्रीय स्तर पर चोट पहुँचती है।""",,
"A survey asked 30,000 Indians which of two options is more important to improve the safety of women in their community: teaching boys to respect all women or teaching girls to behave appropriately. Roughly half of Indians say teaching boys to respect women is more important, while only a quarter of Indians say teaching girls to behave appropriately is the better way to improve women’s safety. ","एक सर्वेक्षण में 30,000 भारतीयों से पूछा गया कि उनके समुदाय में महिलाओं की सुरक्षा में सुधार के लिए कौन सा तरीका बेहतर है: लड़कों को सभी महिलाओं का सम्मान करना सिखाना या लड़कियों को उचित व्यवहार करना सिखाना। लगभग आधे भारतीयों का मानना ​​है कि लड़कों को महिलाओं का सम्मान करना सिखाना अधिक महत्वपूर्ण है, जबकि केवल एक चौथाई भारतीयों का मानना ​​है कि लड़कियों को उचित व्यवहार करना सिखाना महिलाओं की सुरक्षा में सुधार करने का बेहतर तरीका है।","एक सर्वेक्षण में 30,000 भारतीयों से पूछा गया कि उनके समुदाय में महिलाओं की सुरक्षा में सुधार के लिए कौन सा तरीका बेहतर है: लड़कों को सभी महिलाओं का सम्मान करना सिखाना या लड़कियों को उचित व्यवहार करना सिखाना।",2,
,,"लगभग आधे भारतीयों का मानना ​​है कि लड़कों को महिलाओं का सम्मान करना सिखाना अधिक महत्वपूर्ण है, जबकि केवल एक चौथाई भारतीयों का मानना ​​है कि लड़कियों को उचित व्यवहार करना सिखाना महिलाओं की सुरक्षा में सुधार करने का बेहतर तरीका है।",,
"Gender-based division of labour is essentially unjust, but not just for the womenfolk. Women are no doubt relegated to the sole job of childbearing and household rearing responsibilities in many traditional households denied even the basic educational opportunities. But let us also empathize for a moment with all the sole male breadwinners in the family. How heavy must be the burden of ensuring a decent standard of living for every member of their family and not just two square meals a day?
How heavy must the burden be to break the curse of poverty for his children and the subsequent generation? A burden compounded by the social expectations no doubt, forcing so many fathers to take loans to wed off their daughters adequately in style, or farmers driven to suicide by their failure to provide for their family. Patriarchy is not offering a rosy life on a platter even to the men.
","लिंग आधारित श्रम विभाजन अनिवार्य रूप से अन्यायपूर्ण है, लेकिन सिर्फ़ महिलाओं के लिए ही नहीं। पारंपरिक घरों में महिलाओं को निःसंदेह केवल बच्चे पैदा करने और घर संभालने की ज़िम्मेदारी सौंपी जाती है, यहाँ तक कि उन्हें बुनियादी शिक्षा के अवसर भी नहीं दिए जाते। लेकिन आइए हम एक पल के लिए परिवार के उन पुरुषों के बारे में भी सोचें जो परिवार के इकलौते कमाने वाले हैं। अपने परिवार के हर सदस्य को सिर्फ दो वक्त का खाना ही नहीं, बल्कि एक अच्छा जीवन देने की ज़िम्मेदारी का बोझ कितना भारी होगा? अपने बच्चों और आने वाली पीढ़ी के लिए गरीबी हटाने का बोझ कितना भारी होगा? सामाजिक अपेक्षाओं से यह बोझ और भी बढ़ जाता है, जिसके कारण कई पिता अपनी बेटियों की शादी करने के लिए कर्ज़ लेते हैं या किसान अपने परिवार का भरण-पोषण करने में विफल होने के कारण आत्महत्या करने को मजबूर होते हैं। पितृसत्ता पुरुषों को भी सरल और आामदायक जीवन नहीं दे रही है।""","लिंग आधारित श्रम विभाजन अनिवार्य रूप से अन्यायपूर्ण है, लेकिन सिर्फ़ महिलाओं के लिए ही नहीं। ",7,can drop if needed to bring down sentence count
,,"पारंपरिक घरों में महिलाओं को निःसंदेह केवल बच्चे पैदा करने और घर संभालने की ज़िम्मेदारी सौंपी जाती है, यहाँ तक कि उन्हें बुनियादी शिक्षा के अवसर भी नहीं दिए जाते। ",,
,,लेकिन आइए हम एक पल के लिए परिवार के उन पुरुषों के बारे में भी सोचें जो परिवार के इकलौते कमाने वाले हैं।,,
,,"अपने परिवार के हर सदस्य को सिर्फ दो वक्त का खाना ही नहीं, बल्कि एक अच्छा जीवन देने की ज़िम्मेदारी का बोझ कितना भारी होगा? ",,
,,अपने बच्चों और आने वाली पीढ़ी के लिए गरीबी हटाने का बोझ कितना भारी होगा? ,,
,,"सामाजिक अपेक्षाओं से यह बोझ और भी बढ़ जाता है, जिसके कारण कई पिता अपनी बेटियों की शादी करने के लिए कर्ज़ लेते हैं या किसान अपने परिवार का भरण-पोषण करने में विफल होने के कारण आत्महत्या करने को मजबूर होते हैं। ",,
,,पितृसत्ता पुरुषों को भी सरल और आामदायक जीवन नहीं दे रही है।,,
"“The prime minister has consistently expressed support for women-led development, notably during international events related to the G20, which India chaired last year.”
","""प्रधानमंत्री नरेंद्र मोदी ने महिलाओं के नेतृत्व में विकास के लिए लगातार समर्थन व्यक्त किया है, विशेष रूप से पिछले वर्ष G20 से संबंधित अंतरराष्ट्रीय कार्यक्रमों के दौरान, जिसकी अध्यक्षता भारत ने की थी।""","""प्रधानमंत्री नरेंद्र मोदी ने महिलाओं के नेतृत्व में विकास के लिए लगातार समर्थन व्यक्त किया है, विशेष रूप से पिछले वर्ष G20 से संबंधित अंतरराष्ट्रीय कार्यक्रमों के दौरान, जिसकी अध्यक्षता भारत ने की थी।""",1,can drop if needed
{Next },{Next },,,
{Longer passages},{Longer passages},,91,
Chandrasekhar & Beena,चन्द्रशेखर और बीना की कहानी,चन्द्रशेखर और बीना की कहानी,,
"Chandrasekhar and Beena had two daughters. They left no stone unturned in the girls' education. Both girls are working in government jobs and have taken care of Chandrasekhar and Beena in their old age financially. Chandrasekhar died at the age of 65, Beena died within a week of her husband's death. Their daughters were not allowed to go to the crematorium to bid their dear parents farewell. They were deeply hurt by society's refusal to grant them this opportunity though they had taken care of their parents and loved them as sons would. It made their children wonder, where do these norms come from? are they permanent?","चंद्रशेखर और बीना की दो बेटियां थीं। उन्होंने बेटियों की शिक्षा में कोई कसर नहीं छोड़ी। दोनों बेटियां सरकारी नौकरी कर रही हैं और उन्होंने बुढ़ापे में चंद्रशेखर और बीना का आर्थिक रूप से ख्याल रखा है। चंद्रशेखर का 65 साल की उम्र में निधन हो गया, और बीना की मृत्यु उसके पति की मृत्यु के एक हफ्ते के भीतर हो गई थी। उनकी बेटियों को अपने प्रिय माता-पिता को अंतिम विदाई देने के लिए श्मशान घाट जाने की अनुमति नहीं दी गई। इस बात से वे बहुत आहत हुईं कि समाज ने उन्हें यह अवसर नहीं दिया, जबकि उन्होंने अपने माता-पिता की देखभाल की थी और उन्हें बेटों की तरह ही प्यार किया था। इससे उनके मन में सवाल उठा कि ये रीति-रिवाज कहां से आते हैं? क्या इन्हें बदला नहीं जा सकता है?",चंद्रशेखर और बीना की दो बेटियां थीं। ,8,
,,उन्होंने बेटियों की शिक्षा में कोई कसर नहीं छोड़ी।,,
,,दोनों बेटियां सरकारी नौकरी कर रही हैं और उन्होंने बुढ़ापे में चंद्रशेखर और बीना का आर्थिक रूप से ख्याल रखा है।,,
,,"चंद्रशेखर का 65 साल की उम्र में निधन हो गया, और बीना की मृत्यु उसके पति की मृत्यु के एक हफ्ते के भीतर हो गई थी।",,
,,उनकी बेटियों को अपने प्रिय माता-पिता को अंतिम विदाई देने के लिए श्मशान घाट जाने की अनुमति नहीं दी गई।,,
,,"इस बात से वे बहुत आहत हुईं कि समाज ने उन्हें यह अवसर नहीं दिया, जबकि उन्होंने अपने माता-पिता की देखभाल की थी और उन्हें बेटों की तरह ही प्यार किया था।",,
,,इससे उनके मन में सवाल उठा कि ये रीति-रिवाज कहां से आते हैं?,,
,,क्या इन्हें बदला नहीं जा सकता है?,,
Shanti's dreams,शांति के सपने,शांति के सपने,,
"Shanti was 18 when her “daddu (paternal grandfather)” got the first rishta (matrimonial alliance) for her. Always stubborn, she had told the family that there were two decisions she would take on her own — marriage and career choices. Her family gave in. She went on to get a Masters in English literature and a Bachelors in Education (B.Ed), a prerequisite for teaching jobs. 
Since then she has appeared for recruitment exams for Kendriya Vidyalayas where she was unsuccessful and the Haryana government’s TGT exam conducted by the Haryana staff selection commission (HSSC) in 2023. She is now preparing for Delhi government’s SSC exam.
“For women of my generation, education and jobs are not just to make us ‘marriage ready’. It is also to find a room of one’s own,” she says, alluding to the title of the essay by her favourite writer, Virginia Woolf. There is a self-imposed pressure to break norms, she says, not just for herself but for future generations because she is tired of women’s contributions being invisible: “Umr beet jaati hai aur log poochhte hain ‘Kya kiya? Rotti banayi, bas (an entire lifetime passes and women are asked if they have been useful enough)?’”
As first-generation university goers, these women are aspiring for something bigger than financial independence — self respect.","""शांति 18 साल की थी जब उसके """"दादू (दादाजी)"" उसके लिए पहला रिश्ता (विवाह प्रस्ताव) लाए थे। हमेशा से जिद्दी रहने वाली शांति ने अपने परिवार से कह दिया था कि जीवन में दो फैसले वह खुद लेगी — शादी और आगे की पढ़ाई/नौकरी का फैसला। उसके परिवार ने उसकी बात मान ली। उसने अंग्रेजी साहित्य में परास्नातक और शिक्षण (बी.एड) की डिग्री हासिल की।
फिर उसने केंद्रीय विद्यालयों की भर्ती परीक्षाओं में भाग लिया, जिसमें वह असफल रही, और हरियाणा कर्मचारी चयन आयोग (HSSC) द्वारा 2023 में आयोजित हरियाणा सरकार की TGT परीक्षा में भी भाग लिया। अब वह दिल्ली सरकार की HSSC परीक्षा की तैयारी कर रही है।
""""मेरी पीढ़ी की महिलाओं के लिए, शिक्षा और नौकरी सिर्फ हमें 'शादी के लिए तैयार' करने के लिए नहीं हैं। यह खुद के लिए समाज में एक जगह बनाने के लिए भी है,"" वह अपनी पसंदीदा लेखिका वर्जीनिया वूल्फ के निबंध के शीर्षक का हवाला देते हुए कहती हैं। वह कहती हैं कि यह निर्णय केवल उसके लिए नहीं, बल्कि आने वाली पीढ़ियों को प्रोत्साहित करने के लिए है, क्योंकि वह महिलाओं के योगदान को अनदेखा होते हुए देखने से थक चुकी हैं: ""उम्र बीत जाती है और लोग पूछते हैं 'क्या किया? रोटी बनाई, बस?""
विश्वविद्यालय जाने वाली पहली पीढ़ी की ये महिलाएं वित्तीय स्वतंत्रता से भी बड़ी चीज की आकांक्षा रखती हैं - आत्मसम्मान।""","शांति 18 साल की थी जब उसके ""दादू (दादाजी)"" उसके लिए पहला रिश्ता (विवाह प्रस्ताव) लाए थे।",11,
,,हमेशा से जिद्दी रहने वाली शांति ने अपने परिवार से कह दिया था कि जीवन में दो फैसले वह खुद लेगी — शादी और आगे की पढ़ाई/नौकरी का फैसला।,,
,,उसके परिवार ने उसकी बात मान ली।,,
,,उसने अंग्रेजी साहित्य में परास्नातक और शिक्षण (बी.एड) की डिग्री हासिल की।,,
,,"फिर उसने केंद्रीय विद्यालयों की भर्ती परीक्षाओं में भाग लिया, जिसमें वह असफल रही।",,
,,हरियाणा कर्मचारी चयन आयोग (HSSC) द्वारा 2023 में आयोजित हरियाणा सरकार की TGT परीक्षा में भी भाग लिया।,,
,,अब वह दिल्ली सरकार की HSSC परीक्षा की तैयारी कर रही है।,,
,,"""मेरी पीढ़ी की महिलाओं के लिए, शिक्षा और नौकरी सिर्फ हमें 'शादी के लिए तैयार' करने के लिए नहीं हैं।",,
,,"यह खुद के लिए समाज में एक जगह बनाने के लिए भी है,"" वह अपनी पसंदीदा लेखिका वर्जीनिया वूल्फ के निबंध के शीर्षक का हवाला देते हुए कहती हैं।",,
,,"वह कहती हैं कि यह निर्णय केवल उसके लिए नहीं, बल्कि आने वाली पीढ़ियों को प्रोत्साहित करने के लिए है, क्योंकि वह महिलाओं के योगदान को अनदेखा होते हुए देखने से थक चुकी हैं: ""उम्र बीत जाती है और लोग पूछते हैं 'क्या किया? रोटी बनाई, बस?""",,
,,"विश्वविद्यालय जाने वाली पहली पीढ़ी की ये महिलाएं वित्तीय स्वतंत्रता से भी बड़ी चीज की आकांक्षा रखती हैं - आत्मसम्मान।""",,
Gaurav and masculinity,"
गौरव और मर्दानगी","
गौरव और मर्दानगी",,
"Born in Kasganj, Uttar Pradesh, Gaurav, a brilliant student, quickly developed an interest in drawing, sketching and mehendi designing. When she saw his arts teacher encouraging him, his mother allowed Gaurav to pursue a three-month course on mehendi design making. Although a lot of men work as mehendi artists, Gaurav’s family members ridiculed him for not doing something ‘more masculine’. However, with the help of YouTube videos, Gaurav made them aware of how men too practise the art, ultimately changing their minds. Addressing how society’s perceptions about career aspirations as gendered, Gaurav says that no one should be humiliated for the kind of work they choose to do and appeals to all to find value in people without associating preconceived notions to their identities. Through skills he learned at a program run by the Breakthrough Trust in his school, Gaurav felt strong enough to stand up to his elder brothers, who bullied him for his choice. He recollects how he negotiated with his mother to help him take a stand against his brothers, who’d also often emasculate him on the basis of his decision to learn and practice mehendi design application. Gaurav had reasoned with his mother, so she could support him in taking a stand against his brothers’ taunts. Today, Gaurav is an established mehendi artist who is also shifting gender norms in his community. As for Gaurav’s brothers, he says that they are more supportive now than ever. ","""उत्तर प्रदेश के कासगंज का गौरव एक होनहार छात्र था, जिसने जल्दी ही ड्राइंग, स्केचिंग और मेहंदी डिजाइनिंग में रुचि बना ली थी। जब उसकी टीचर ने उसे प्रोत्साहित किया, तो उसकी मां ने गौरव को मेहंदी डिजाइन बनाने के तीन महीने के कोर्स में दाखिला लेने की अनुमति दे दी। हालांकि बहुत से पुरुष मेहंदी कलाकार के रूप में काम करते हैं, लेकिन गौरव के परिवार के सदस्यों ने उसका मज़ाक उड़ाया कि वह लड़कियों का काम क्यों कर रहा है। यूट्यूब वीडियो की मदद से, गौरव ने उन्हें यह समझाया कि पुरुष भी इस कला को अपनाते हैं, और कुछ महीनों में उनका नज़रिया बदल गया। नौकरी से जुड़ी समाज की धारणाओं पर गौरव का कहना है कि किसी को भी उनके चुने हुए काम के लिए अपमानित नहीं किया जाना चाहिए। अपने स्कूल में ब्रेकथ्रू ट्रस्ट द्वारा चलाए जा रहे एक कार्यक्रम के दौरान सीखे गए कौशल की मदद से, गौरव ने अपने बड़े भाइयों के सामने खड़े होने का आत्मविश्वास पाया, जो उसके काम को लेकर उसे परेशान करते थे। वह याद करता हैं कि कैसे उसने अपनी मां के साथ बात की ताकि वह उसे भाइयों के खिलाफ़ खड़े होने में समर्थन दे सकें, जो अक्सर उसके मेहंदी डिजाइन सीखने के फैसले के कारण उनकी मर्दानगी पर सवाल उठाते थे। आज, गौरव एक प्रतिष्ठित मेहंदी कलाकार हैं जो अपने समाज के नज़रिए को भी बदल रहा हैं। गौरव के भाइयों के बारे में, उसका कहना है कि वे अब पहले से कहीं ज़्यादा सहायक हैं।","उत्तर प्रदेश के कासगंज का गौरव एक होनहार छात्र था, जिसने जल्दी ही ड्राइंग, स्केचिंग और मेहंदी डिजाइनिंग में रुचि बना ली थी। ",9,
,,"जब उसकी टीचर ने उसे प्रोत्साहित किया, तो उसकी मां ने गौरव को मेहंदी डिजाइन बनाने के तीन महीने के कोर्स में दाखिला लेने की अनुमति दे दी। ",,
,,"हालांकि बहुत से पुरुष मेहंदी कलाकार के रूप में काम करते हैं, लेकिन गौरव के परिवार के सदस्यों ने उसका मज़ाक उड़ाया कि वह लड़कियों का काम क्यों कर रहा है। ",,
,,"यूट्यूब वीडियो की मदद से, गौरव ने उन्हें यह समझाया कि पुरुष भी इस कला को अपनाते हैं, और कुछ महीनों में उनका नज़रिया बदल गया।",,
,,नौकरी से जुड़ी समाज की धारणाओं पर गौरव का कहना है कि किसी को भी उनके चुने हुए काम के लिए अपमानित नहीं किया जाना चाहिए। ,,
,,"अपने स्कूल में ब्रेकथ्रू ट्रस्ट द्वारा चलाए जा रहे एक कार्यक्रम के दौरान सीखे गए कौशल की मदद से, गौरव ने अपने बड़े भाइयों के सामने खड़े होने का आत्मविश्वास पाया, जो उसके काम को लेकर उसे परेशान करते थे। ",,
,,"वह याद करता हैं कि कैसे उसने अपनी मां के साथ बात की ताकि वह उसे भाइयों के खिलाफ़ खड़े होने में समर्थन दे सकें, जो अक्सर उसके मेहंदी डिजाइन सीखने के फैसले के कारण उनकी मर्दानगी पर सवाल उठाते थे। ",,
,,"आज, गौरव एक प्रतिष्ठित मेहंदी कलाकार हैं जो अपने समाज के नज़रिए को भी बदल रहा हैं।",,
,,"गौरव के भाइयों के बारे में, उसका कहना है कि वे अब पहले से कहीं ज़्यादा सहायक हैं।",,
,,,,
,,,,
Reflections,कुछ विचार,कुछ विचार,,
"A world where there is no violence or discrimination based on gender, what would that world be like? I don’t know because I’ve never seen such a world, but it will be very special. A world where a girl doesn’t have to look at her watch or measure her clothes before stepping out of her house. While walking on the street, she won’t have to look over her shoulder every couple of minutes. In the darkness of night or the brightness of day, no woman will have to be afraid. And a girl won’t have to fight her own people just for her happiness. That world will be very special because it will be free.","एक ऐसी दुनिया जहाँ लिंग के आधार पर हिंसा न हो, भेदभाव न हो, कैसी होगी वो दुनिया? पता नहीं क्योंकि कभी देखी नहीं वो दुनिया, पर बहुत खास होगी। एक ऐसी दुनिया जहाँ घर से निकलते वक्त किसी लड़की को अपनी घड़ी या कपड़ों को ना नापना पड़े। सड़क पर चलते वक्त दो-दो मिनट बाद अपने कंधे के पीछे ना ताकना पड़े। रात के अंधेरे में और दिन के उजाले में किसी औरत को ना डरना पड़े। और अपनी ही खुशी के लिए किसी लड़की को अपनों से ना लड़ना पड़े। बहुत खास होगी वो दुनिया क्योंकि आज़ाद होगी वो दुनिया।","एक ऐसी दुनिया जहाँ लिंग के आधार पर हिंसा न हो, भेदभाव न हो, कैसी होगी वो दुनिया?",7,
,,"पता नहीं क्योंकि कभी देखी नहीं वो दुनिया, पर बहुत खास होगी।",,
,,एक ऐसी दुनिया जहाँ घर से निकलते वक्त किसी लड़की को अपनी घड़ी या कपड़ों को ना नापना पड़े। ,,
,,सड़क पर चलते वक्त दो-दो मिनट बाद अपने कंधे के पीछे ना ताकना पड़े।,,
,,रात के अंधेरे में और दिन के उजाले में किसी औरत को ना डरना पड़े। ,,
,,और अपनी ही खुशी के लिए किसी लड़की को अपनों से ना लड़ना पड़े।,,
,,बहुत खास होगी वो दुनिया क्योंकि आज़ाद होगी वो दुनिया।,,
Reflections,कुछ विचार,कुछ विचार,,
"a world free of gender based violence and discrimination would be a world free of fear. a world where i could take a stroll under a starlit sky alone. where i would not frown or hurry up my steps to look purposeful, where i actually want to slow down and loiter. a world where i would not constantly have to look over my shoulder. it would be a world where i could just be and breathe freely ","एक ऐसी दुनिया, जो लिंग आधारित हिंसा और भेदभाव से मुक्त हो, वह एक डर से मुक्त दुनिया होगी। एक ऐसी दुनिया जहाँ मैं अकेले तारों के नीचे सैर कर सकूँ। जहाँ मुझे गंभीर दिखने के लिए अपना चेहरा ना सिकोड़ना पड़े या अपने कदमों को तेज़ करने की ज़रूरत ना हो, बल्कि जहाँ मैं अगर मन चाहे तो धीमे चल पाऊँ, यूँ ही सैर कर पाऊँ। एक ऐसी दुनिया जहाँ मुझे लगातार अपने कंधे के पीछे देखने की ज़रूरत ना हो। यह एक ऐसी दुनिया होगी जहाँ मैं बस जी सकूँ और आज़ादी से साँस ले सकूँ।","एक ऐसी दुनिया, जो लिंग आधारित हिंसा और भेदभाव से मुक्त हो, वह एक डर से मुक्त दुनिया होगी।",6,
,,एक ऐसी दुनिया जहाँ मैं अकेले तारों के नीचे सैर कर सकूँ।,,
,,जहाँ मुझे गंभीर दिखने के लिए अपना चेहरा ना सिकोड़ना पड़े या अपने कदमों को तेज़ करने की ज़रूरत ना हो।,,
,,"बल्कि जहाँ मैं अगर मन चाहे तो धीमे चल पाऊँ, यूँ ही सैर कर पाऊँ।",,
,,एक ऐसी दुनिया जहाँ मुझे लगातार अपने कंधे के पीछे देखने की ज़रूरत ना हो।,,
,,यह एक ऐसी दुनिया होगी जहाँ मैं बस जी सकूँ और आज़ादी से साँस ले सकूँ।,,
Reflections,कुछ विचार,कुछ विचार,,
"I am at the sunset of my life, but I hope my daughters after me can experience a world without gender based violence and discrimination. i wish they can walk down the street not followed by lustful stares and goring gazes, i wish they can laugh with abandon, i wish they can express freely, i wish their world gives itself the chance to experience the beauty that women can bring to society","मैं अपने जीवन के अंतिम पड़ाव पर हूँ, पर मुझे उम्मीद है कि मेरी बेटियाँ मेरे बाद एक ऐसी दुनिया का अनुभव कर सकेंगी जहाँ लिंग आधारित हिंसा और भेदभाव न हो। मैं चाहती हूँ कि वे पीछा करती हुई और घूरती निगाहों के बिना सड़कों पर चल सकें। मैं चाहती हूँ कि वे खुलकर हँस सकें, मैं चाहती हूँ कि वे अपनी बातों को बेझिझक व्यक्त कर सकें। मैं चाहती हूँ कि उनकी दुनिया महिलाओं को मौका देगी, यह दिखाने के लिए कि वे भी गृहस्थी के बाहर मर्दों के साथ कंधा मिलाकर समाज को और खूबसूरत बना सकती हैं, और उसे आगे ले जा सकती हैं।","मैं अपने जीवन के अंतिम पड़ाव पर हूँ, पर मुझे उम्मीद है कि मेरी बेटियाँ मेरे बाद एक ऐसी दुनिया का अनुभव कर सकेंगी जहाँ लिंग आधारित हिंसा और भेदभाव न हो।",6,
,,मैं चाहती हूँ कि वे पीछा करती हुई और घूरती निगाहों के बिना सड़कों पर चल सकें।,,
,,मैं चाहती हूँ कि वे खुलकर हँस सकें।,,
,,मैं चाहती हूँ कि वे अपनी बातों को बेझिझक व्यक्त कर सकें।,,
,,मैं चाहती हूँ कि उनकी दुनिया महिलाओं को मौका देगी।,,
,,"यह दिखाने के लिए कि वे भी गृहस्थी के बाहर मर्दों के साथ कंधा मिलाकर समाज को और खूबसूरत बना सकती हैं, और उसे आगे ले जा सकती हैं।",,
Shanti and Mohan's story,शांति और मोहन की कहानी,शांति और मोहन की कहानी,,
